Time,Actual,Predicted,Error
2019-01-13 15:08:00,52882032.87493134,96543837.5470172,43661804.67208586
2019-01-13 15:12:00,46709328.8657328,97999397.13113433,51290068.265401535
2019-01-13 15:32:00,108396720.81974009,63236595.97566055,45160124.84407954
2019-01-13 15:34:00,42236096.81514079,89306277.58419889,47070180.7690581
2019-01-13 15:52:00,150813640.77374732,79763465.45641229,71050175.31733504
2019-01-13 19:18:00,149593584.3000222,86989841.18002361,62603743.119998604
2019-01-13 21:42:00,150862839.96887457,96430854.06442961,54431985.90444496
2019-01-13 21:46:00,61662359.95967604,122363067.25962752,60700707.29995148
2019-01-14 00:30:00,56093983.58253565,99485336.00229731,43391352.419761665
2019-01-14 00:54:00,206323639.5273444,117061874.96297157,89261764.56437284
2019-01-14 01:18:00,104874311.4721531,151477915.74797034,46603604.275817245
2019-01-14 01:20:00,73218815.46755382,121932031.48709723,48713216.01954341
2019-01-14 01:38:00,34480287.42616037,80639389.98386024,46159102.55769987
2019-01-14 02:14:00,94780935.34337346,34488114.29616293,60292821.04721053
2019-01-14 07:48:00,107546062.57529488,63636938.79162577,43909123.783669114
2019-01-14 08:46:00,164177902.44191596,66214400.96756688,97963501.47434908
2019-01-14 09:52:00,201259918.29014,80685364.84628202,120574553.44385798
2019-01-14 09:54:00,74482206.2855407,152858817.7636817,78376611.47814101
2019-01-14 09:58:00,152830614.27634215,93884014.22021787,58946600.056124285
2019-01-14 10:00:00,173227950.27174288,130641851.10382837,42586099.16791451
2019-01-14 10:02:00,47394942.2671436,146212483.14504725,98817540.87790364
2019-01-14 15:44:00,103829901.48066792,61567615.748525865,42262285.73214205
2019-01-14 19:08:00,74075797.0115421,118239854.64998484,44164057.63844274
2019-01-14 19:34:00,187760796.9517516,145209960.7326442,42550836.21910739
2019-01-14 21:00:00,132377172.7539828,184498980.3581849,52121807.60420211
2019-01-14 23:36:00,93477501.39523952,135781249.76480135,42303748.369561836
2019-01-15 01:12:00,36724748.17447443,128887311.27901891,92162563.10454448
2019-01-15 07:44:00,128405019.27301694,73647355.6027202,54757663.67029674
2019-01-15 09:52:00,128436946.97866347,83410741.4930739,45026205.48558958
2019-01-15 12:32:00,128493651.61072163,82165697.36985967,46327954.24086197
2019-01-15 15:34:00,87063746.1921878,129376938.69523732,42313192.50304952
2019-01-15 15:50:00,174280858.15539363,110839424.57738982,63441433.57800381
2019-01-15 16:08:00,182149979.11400017,123519549.7326926,58630429.38130757
2019-01-15 18:32:00,182845594.78285253,132291583.50848866,50554011.274363875
2019-01-15 21:00:00,183950529.4425063,122283063.01482114,61667466.42768517
2019-01-15 22:06:00,191050777.29073036,141170882.75979698,49879894.53093338
2019-01-15 22:36:00,79314905.22174123,148249557.72178364,68934652.50004241
2019-01-15 22:38:00,58310857.21714195,106988095.73813108,48677238.52098913
2019-01-16 07:56:00,285104639.9339448,61951024.34518119,223153615.58876362
2019-01-16 07:58:00,296757679.92934555,193062858.01714313,103694821.91220242
2019-01-16 08:00:00,94493687.92474626,221850435.0852012,127356747.16045494
2019-01-16 08:24:00,170282911.869555,107002388.09176308,63280523.77779192
2019-01-16 08:26:00,286320503.8649557,144823176.77243713,141497327.0925186
2019-01-16 08:30:00,91746823.85575718,201065914.66734052,109319090.81158334
2019-01-16 08:32:00,79893871.8511579,124067900.9885143,44174029.1373564
2019-01-16 08:52:00,65360815.80516517,107547239.22281292,42186423.41764775
2019-01-16 09:06:00,139123327.77297026,85338748.99509192,53784578.777878344
2019-01-16 09:16:00,126412583.7499739,84370870.74407843,42041713.005895466
2019-01-16 10:48:00,174978863.53840733,123433872.5519562,51544990.98645112
2019-01-16 12:30:00,152951303.30384442,97310059.74137554,55641243.56246889
2019-01-16 13:58:00,105041551.10147642,155719185.64999408,50677634.54851766
2019-01-16 14:04:00,154643551.08767858,112070631.54813719,42572919.53954139
2019-01-16 15:26:00,116551126.8991084,164406813.72881913,47855686.82971074
2019-01-16 15:52:00,76617430.83931786,128606637.33660774,51989206.49728988
2019-01-16 15:54:00,169596622.8347186,98101911.87506498,71494710.95965363
2019-01-16 16:00:00,188984150.8209208,141865892.73201078,47118258.08891001
2019-01-16 16:56:00,80299406.69214113,132393601.9814761,52094195.28933497
2019-01-16 17:08:00,153938766.66454548,110715817.29236525,43222949.37218022
2019-01-16 17:16:00,75689278.6461484,119811571.37544838,44122292.72929998
2019-01-16 17:18:00,137970054.6415491,91277591.16686365,46692463.47468546
2019-01-16 17:26:00,162969118.62315202,106259005.83983006,56710112.78332196
2019-01-16 17:38:00,107593270.5955564,151607791.19800186,44014520.60244547
2019-01-16 18:26:00,201885454.48517385,137612208.54247004,64273245.94270381
2019-01-16 18:32:00,113170734.47137605,180428110.32401633,67257375.85264029
2019-01-16 19:32:00,201740583.33339784,153902580.2396523,47838003.09374553
2019-01-16 20:36:00,134095678.18622112,184123049.55860955,50027371.37238842
2019-01-16 22:32:00,186697622.91946328,132671685.5062546,54025937.41320868
2019-01-17 00:04:00,80503109.70789672,127090553.19897324,46587443.491076514
2019-01-17 00:24:00,106550093.661904,148832543.37197796,42282449.71007395
2019-01-17 00:28:00,186873878.65270543,140380642.0270343,46493236.62567112
2019-01-17 06:22:00,26260860.838634145,73810753.88858233,47549893.049948186
2019-01-17 06:56:00,97900444.7604465,37919737.43355926,59980707.32688724
2019-01-17 07:18:00,116438660.7098545,58351671.63627321,58086989.073581286
2019-01-17 07:22:00,47125060.70065596,91413338.96521127,44288278.26455531
2019-01-17 07:54:00,183422644.6270676,103216500.91333333,80206143.71373427
2019-01-17 08:46:00,142349532.5074865,94571074.17638221,47778458.33110428
2019-01-17 10:08:00,166064132.3189163,123159041.20147595,42905091.11744034
2019-01-17 10:10:00,91317844.31431703,147548185.1656786,56230340.85136156
2019-01-17 11:36:00,532.1165482966917,70409602.07064602,70409069.95409772
2019-01-17 21:44:00,44633626.718369335,89549231.45623675,44915604.737867415
2019-01-18 20:04:00,140646127.6368565,69633768.96892074,71012358.66793576
2019-01-18 20:06:00,163886183.63225722,110143056.82435967,53743126.80789755
2019-01-18 20:08:00,61298775.62765794,130795959.16211626,69497183.53445831
2019-01-18 20:24:00,104906623.59086376,62104860.685262844,42801762.90560092
2019-01-18 21:46:00,148337743.40229356,55598350.41981119,92739392.98248237
2019-01-18 21:56:00,133674823.3792972,91681625.33579788,41993198.04349932
2019-01-18 22:26:00,172259887.3103081,128983495.74454534,43276391.56576276
2019-01-18 22:28:00,203254655.30570883,154009893.8688339,49244761.436874926
2019-01-18 22:42:00,175204367.2735139,131851925.01183456,43352442.26167935
2019-01-18 22:58:00,104643415.23671974,152945138.926488,48301723.68976827
2019-01-18 23:30:00,173067751.1631314,118942418.86002994,54125332.30310145
2019-01-18 23:32:00,94870607.1585321,144778558.06745636,49907950.90892427
2019-01-18 23:34:00,62489711.15393283,104458286.21692483,41968575.062992
2019-01-18 23:52:00,104383487.11253938,62103913.19462231,42279573.91791707
2019-01-19 08:08:00,89993221.97191969,43251821.586413905,46741400.38550578
2019-01-19 10:48:00,108056877.60397786,54255760.7967079,53801116.80726996
2019-01-19 11:12:00,45029909.54878659,96886283.92178111,51856374.37299452
2019-01-19 11:30:00,56084069.50739313,101500389.65756342,45416320.15017029
2019-01-19 12:28:00,145432373.37401423,93442197.01714279,51990176.35687144
2019-01-19 14:14:00,84331797.13025275,136195680.27357137,51863883.14331862
2019-01-19 14:24:00,135452869.10725638,90704731.4915084,44748137.61574799
2019-01-19 15:36:00,73171812.94168256,121214090.19490795,48042277.253225386
2019-01-19 16:28:00,127317588.82210146,82365852.20168406,44951736.6204174
2019-01-19 17:14:00,89159924.71631819,133470909.58122827,44310984.86491008
2019-01-19 17:24:00,70049740.69332182,121714512.9081883,51664772.214866474
2019-01-19 17:50:00,58202628.63353128,108548904.12457898,50346275.4910477
2019-01-19 19:14:00,123107148.4403618,79291924.39005336,43815224.050308436
2019-01-19 19:52:00,71380052.35297564,115756470.55809584,44376418.205120206
2019-01-19 20:18:00,157091220.29318509,87585270.8276366,69505949.46554849
2019-01-19 21:00:00,166271636.19660035,99882699.82762416,66388936.36897619
2019-01-19 21:44:00,155505596.09541634,111754644.68716858,43750951.408247754
2019-01-19 21:48:00,194083269.0862178,139973916.2587731,54109352.8274447
2019-01-19 21:58:00,101274004.06322144,149972059.19788015,48698055.13465871
2019-01-19 22:56:00,98874315.92984252,145593717.97784144,46719402.04799892
2019-01-20 00:10:00,176237995.75966942,122705798.83530384,53532196.92436558
2019-01-20 01:28:00,119066979.58029778,66909610.32317104,52157369.25712674
2019-01-20 01:30:00,61061491.57569851,104807235.65233114,43745744.076632634
2019-01-20 02:58:00,128938795.3733305,75011161.97684023,53927633.396490276
2019-01-20 03:38:00,139426804.28134504,67217686.7453284,72209117.53601664
2019-01-20 03:44:00,15311003.267547224,89145145.30143186,73834142.03388464
2019-01-20 05:54:00,99167666.96859448,29809171.78921569,69358495.17937878
2019-01-20 05:58:00,137361042.95939597,70920373.28499874,66440669.67439723
2019-01-20 09:14:00,96776722.5086672,51579450.18505713,45197272.32361007
2019-01-20 11:00:00,176694874.26490572,71637408.97402297,105057465.29088275
2019-01-20 11:02:00,178259322.26030645,134612985.56191105,43646336.6983954
2019-01-20 11:04:00,85616250.25570719,146121384.86880657,60505134.61309938
2019-01-20 11:46:00,122641474.15912244,78582200.74813898,44059273.41098346
2019-01-20 11:58:00,52415194.13152681,103712585.5388349,51297391.40730809
2019-01-20 13:06:00,115882842.97515154,72145121.1380368,43737721.83711474
2019-01-20 13:56:00,65568137.86016972,121568524.39022973,56000386.53006001
2019-01-20 13:58:00,44573057.85557044,88225061.20828444,43652003.352713995
2019-01-20 14:08:00,137449609.83257407,87937663.6664424,49511946.166131675
2019-01-20 14:36:00,144980161.76818424,84251558.9738864,60728602.794297844
2019-01-20 15:34:00,77992553.63480534,122474091.89696708,44481538.26216175
2019-01-20 16:08:00,108746185.5566177,66344390.68142482,42401794.87519289
2019-01-20 17:58:00,150117889.30365768,106216671.72684821,43901217.576809466
2019-01-20 18:54:00,154217145.17487806,199873082.41115034,45655937.236272275
2019-01-20 19:22:00,125645649.11048824,167581530.37104452,41935881.26055628
2019-01-20 20:06:00,208673377.00930423,166773113.44406873,41900263.565235496
2019-01-20 21:34:00,179477512.8069362,115504442.73326173,63973070.07367447
2019-01-20 21:50:00,116930440.77014203,172111831.34113443,55181390.570992395
2019-01-20 22:00:00,218359432.74714568,163097403.2639418,55262029.48320389
2019-01-20 22:06:00,146263368.73334786,203036485.1303277,56773116.39697984
2019-01-20 22:16:00,116418704.71035148,163524324.03995103,47105619.329599544
2019-01-20 22:28:00,169368640.68275586,120947526.05642794,48421114.62632792
2019-01-20 22:42:00,212681240.65056092,170858378.28359646,41822862.36696446
2019-01-21 00:42:00,63037216.37460457,121856084.0572947,58818867.68269013
2019-01-21 02:08:00,104371856.17683583,44023349.832607105,60348506.34422873
2019-01-21 02:10:00,125632816.17223656,77122317.07459123,48510499.09764533
2019-01-21 08:26:00,105302527.30757324,57885814.20853203,47416713.099041216
2019-01-21 09:24:00,55261583.174194336,104284853.49872194,49023270.32452761
2019-01-21 09:46:00,49959975.12360233,96059280.76827687,46099305.64467454
2019-01-21 10:18:00,167540455.05001396,83244873.45326719,84295581.59674677
2019-01-21 10:20:00,66194879.04541469,133943967.63859786,67749088.59318316
2019-01-21 14:24:00,144293126.4843034,98942829.74297658,45350296.74132684
2019-01-21 14:30:00,184050822.4705056,137275132.1997017,46775690.2708039
2019-01-21 14:50:00,103444886.42451283,145487646.80878943,42042760.3842766
2019-01-21 15:20:00,163834894.35552377,110480062.50578642,53354831.849737346
2019-01-21 16:38:00,164554552.1761521,114334250.36519946,50220301.81095265
2019-01-21 18:22:00,98131277.93698992,141122822.5712372,42991544.63424729
2019-01-21 18:42:00,156071533.8909972,114242517.50237897,41829016.38861823
2019-01-21 18:52:00,84499149.86800084,135024109.90625194,50524960.0382511
2019-01-21 18:54:00,159672205.86340156,105067592.61096184,54604613.25243972
2019-01-21 19:42:00,175905021.753019,112650454.52750587,63254567.22551313
2019-01-21 20:28:00,187626758.6472357,133622982.08724973,54003776.559985965
2019-01-21 21:38:00,169812749.4862612,125330598.36386946,44482151.12239173
2019-01-21 22:30:00,164405941.3666801,120366232.77666377,44039708.59001632
2019-01-21 22:34:00,158013725.35748154,114449705.88437891,43564019.47310263
2019-01-21 22:48:00,210071605.32528663,137886771.4688179,72184833.85646874
2019-01-21 22:54:00,108154797.3114888,157346951.91734952,49192154.60586071
2019-01-22 00:18:00,141106909.11831933,94389392.65211111,46717516.46620822
2019-01-22 00:36:00,64278221.07692589,108342083.61457011,44063862.53764422
2019-01-22 06:20:00,99844332.28585096,35053421.49743056,64790910.788420394
